Study Abroad Institution,Program Name ,Year ,Kzoo Course Name ,Kzoo Discipline ,Host Insti. Course Number,Host Insti. Course Name
Universidad San Francisco de Quito,Ecuador: Quito,2015-2016,Aboriginal & Colonial History of Ecuador ,HIST ,HIS 0210 ,Aboriginal & Colonial His. Of Ecu
Universität Bonn,Germany: Bonn,2018-2019,History of the Petersburg Empire: Russia 1689-1917,HIST ,NA,Geschichte des Petersburger Kaiserreichs: Russland 1689-1917
Universität Bonn,Germany: Bonn,2018-2019,Social Upheavals and Revolutions in the Long 20th Century,HIST ,NA,Social Upheavals and Revolutions in the Long 20th Century
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,National Socialist Objects and their Impat Today,HIST ,NA,National Socialist Objects and their Impat Today
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,Ancient Cargo Ships,HIST ,NA,
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Contemporary History: An Introduction,HIST ,PHI 28422,Contemporary History: Basic Seminar
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Destruction of the Book,HIST ,Proseminar Buchwissenschaft,Destruktionen des Buches
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,The Cold War in the Middle East,HIST ,Proseminar Geschichte,"Der kalte Krieg im Nahen Osten. Systemkonkurrenz, Nationalismen und aufkommender Fundamentalismum"
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,The Concept of Collective Security in US and Western Europe 1945-1970,HIST ,Proseminar Geschichte,Die USA und das Konzept kollektiver Sicherheit in der westeuropaischen Geschichte zwischen 1945 und 1970
Greece College Year in Athens,Greece: Athens,2018-2019,The Ancient Near East: Alexander the Great to Rome,HIST ,HIST 368,The Ancient Near East: Alexander the Great to Rome
Greece College Year in Athens,Greece: Athens,2018-2019,"Sports, Games and Spectacles in Graeco-Roman World",HIST ,HIST 365,"Sports, Games and Spectacles in Graeco-Roman World"
Greece College Year in Athens,Greece: Athens,2018-2019,Biography of the Byzantine Empire,HIST ,HIST 359,Biography of the Byzantine Empire
Greece College Year in Athens,Greece: Athens,2017-2018,Biography of an Empire: The Surprising Life of a Byzantium,HIST ,H359,Biography of an Empire: the Surprising Life of a Byzantium
Greece College Year in Athens,Greece: Athens,2017-2018,To the Strongest: the Ancient Near East from the Death of Alexander to the Coming of Rome,HIST ,H368,To the Strongest: The Ancient Near East from the Death of Alexander to the Coming of Rome  
